genres,final_smoothed_value
Young Adult Contemporary,3.000002617214639
Amazon,0.9655202600236399
Botswana,1.1275297857722468
Coding,1
Cult Classics,1
Dinosaurs,0.9142848166643218
Dragonlance,0.7727059453857983
Hackers,1.8214284725858036
Journal,1
Naval History,1.4002872315204544
Wildlife,1
Algeria,1
Banks,1
New Weird,1.4743572008464763
Personal Finance,1.8383099773262324
Regency Romance,4.384859087698814
Shapeshifters,2.047621186
Star Trek,1
Superman,1.0447066825035691
Zombies,9.000009508
Edwardian,1.5235787080497998
Fashion,1.3161808243105237
International,2.5911295403754795
Quilting,1
Road Trip,2.5833028468982224
Christian Historical Fiction,1.6813753802079658
Disability,2.9999390732058315
Human Development,1.619047548
International Relations,1.382352715937158
Paranormal Romance,1.9411226206746954
Prehistory,0.9890384018798447
Social Work,0.9547023423500004
Spider Man,1.2380641025720434
Trivia,1.499999928599167
Young Adult Historical Fiction,1.484863271958252
Climbing,0.9524024376593394
Forgotten Realms,0.984210242
Mermaids,3.0196352874252494
Mountaineering,1.428558667153454
Rabbits,1
Role Playing Games,1.4166495520162135
Slice Of Life,1.8083332746061822
Gaming,1.7789471097292737
Geology,1
Internet,1
Shonen,4.909476748766602
Sports Romance,5.2059523588473615
Time Travel Romance,1.8666665418019277
Alternative Medicine,0.9524024376593394
Culinary,1.0897530029132265
Musicians,1.7159923958578105
Near Future,1
Princesses,1.1555946569077988
Science Fiction Romance,1.1842153943317264
Soccer,1.4102575833772457
Elves,1.3999998069799209
Fantasy Romance,1.8676737090491367
Anime,2.0588235048556904
Doctor Who,1.395591167427828
Nordic Noir,2.275442367280697
Shojo,2.0489817459744417
Teachers,1.3999998787565753
Tragedy,2.555555481330085
12th Century,1.5273293237985308
Adoption,1.8233541451682032
Comedian,1.3805102334189372
Transgender,1.2692342806319314
Wolves,1.000000962279439
Young Adult Romance,1.3742402271838676
Komik,0.6363392571270089
Yaoi,1.8380610093993734
Boys Love,1.1428531585486137
Graphic Novels Manga,2.093395850333835
Shounen Ai,1.666666547852376
Video Games,2.1228068551439057
Amish,4.477386855340043
Amish Fiction,3.454496097827671
Cinderella,1.290984383177692
Genderqueer,0.9524024376593394
Military Romance,3.090904738904025
Rwanda,1.750007877527131
Young Adult Science Fiction,1.9642880211690754
M M F,1.1814403019027906
Menage,5.285758570298747
40k,1.6220128893196408
Guides,1.6071427683261688
21st Century,2.5315853252817315
Josei,2.533333212617589
Paranormal Mystery,2.0001130459467165
M F M,1.2365096193851277
Reverse Harem,2.5357141951599598
Webcomic,1.178498363382254
Manga Romance,1.607159400774074
Manhwa,1
Gay For You,3.2888387574856885
Interracial Romance,1.5777777533592572
Gods,4.035714177291499
Young Adult Paranormal,1.900007811271928
Bisexual,1
Climate Change,1.0444625204158011
M M Fantasy,2.8095237521221947
Fan Fiction,2.999991799964348
M M Contemporary,1.9285713296873324
