genres,1970-1980,1980-1990,1990-2000,2000-2010,2010-2020,total
Amish Fiction,0,0,1,8,18,27
Comic Strips,1,5,4,15,2,27
Conspiracy Theories,4,5,8,9,1,27
Crafts,2,5,6,9,5,27
Love Story,2,1,1,7,16,27
Nutrition,2,1,6,18,0,27
Prehistoric,0,7,15,5,0,27
Poverty,1,1,12,10,2,26
Architecture,7,6,3,6,3,25
Government,3,2,2,12,6,25
Monsters,5,2,7,4,7,25
Rock N Roll,0,6,7,9,3,25
Travelogue,5,3,7,9,1,25
Activism,2,0,2,13,7,24
Foodie,0,2,3,14,5,24
Graphic Novels Manga,0,0,3,20,1,24
Hugo Awards,8,5,8,3,0,24
Modern Classics,10,7,3,3,1,24
Prayer,5,3,5,6,5,24
Pulp,4,3,0,7,10,24
Science Fiction Romance,0,0,9,7,8,24
Technical,4,5,8,5,2,24
1st Grade,4,2,3,13,1,23
Elves,0,0,7,11,5,23
Science Nature,2,3,7,7,4,23
Beauty and The Beast,1,1,9,4,7,22
Childrens Classics,3,3,3,12,1,22
Denmark,0,2,5,12,3,22
Gardening,2,2,6,9,3,22
Motorcycle,1,0,0,2,19,22
Psychoanalysis,6,4,5,4,3,22
Romanticism,2,3,7,4,6,22
Biblical,1,2,4,9,5,21
Boys Love,0,0,1,12,8,21
Engineering,5,3,9,2,2,21
Art Design,1,5,3,10,1,20
Belgium,1,3,7,8,1,20
Birds,0,2,4,10,4,20
Fitness,3,1,2,13,1,20
Gay For You,0,0,0,3,17,20
International Relations,0,1,4,13,2,20
Medieval History,3,2,4,7,4,20
Military Romance,0,0,1,5,14,20
Skepticism,0,1,4,12,3,20
Splatterpunk,0,5,6,4,5,20
Comic Fantasy,0,1,13,5,0,19
Eastern Philosophy,4,3,8,4,0,19
Fashion,0,1,2,10,6,19
Fighters,0,0,0,0,19,19
Fostering,2,1,1,8,7,19
Geography,2,3,5,7,2,19
God,6,2,6,3,2,19
Grad School,2,1,4,10,2,19
Hard Boiled,4,4,10,1,0,19
Hinduism,4,5,2,7,1,19
Russian History,2,3,5,7,2,19
Social,4,1,2,6,6,19
Western Historical Romance,0,3,10,4,2,19
Zen,5,5,5,3,1,19
American Revolutionary War,4,0,1,11,2,18
Art and Photography,4,2,3,4,5,18
Artificial Intelligence,1,4,2,7,4,18
International,0,1,3,12,2,18
Josei,0,0,0,11,7,18
Komik,0,0,11,4,3,18
Magick,3,4,3,5,3,18
Prehistory,0,4,10,4,0,18
Witchcraft,2,4,2,5,5,18
Cities,2,1,7,4,3,17
French Revolution,1,1,4,8,3,17
Georgian,3,1,3,8,2,17
Gods,0,0,0,4,13,17
Hungary,2,6,1,6,2,17
Lovecraftian,1,2,6,4,4,17
Martial Arts,3,5,5,2,2,17
New Weird,0,1,3,11,2,17
Tragedy,0,0,2,8,7,17
Unicorns,0,4,4,3,6,17
Anti Racist,1,3,6,0,6,16
Basketball,0,2,2,9,3,16
Dinosaurs,0,4,5,3,4,16
Doctor Who,0,0,4,5,7,16
Dragonlance,0,10,4,2,0,16
Hungarian Literature,2,6,1,4,3,16
M M Fantasy,0,0,0,7,9,16
Paganism,3,3,5,4,1,16
Paranormal Mystery,0,0,0,7,9,16
Quantum Mechanics,1,3,3,4,5,16
Soccer,0,0,6,4,6,16
Social Issues,1,1,4,6,4,16
Young Readers,1,1,1,8,5,16
Academia,2,7,4,2,0,15
Belgian,1,0,6,7,1,15
